#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price,Brand
88,1,15,PACID19120008,Package Empty Cylinder,Empty Cylinder 45[ OMERA ],0,2300,,OMERA
89,2,16,PACID19120008,Package Refill,Refill 45[ OMERA ],0,3170,,OMERA
90,1,17,PACID19120009,Package Empty Cylinder,Empty Cylinder 12[ BM  ],241,500,,BM 
91,2,18,PACID19120009,Package Refill,Refill 12[ BM  ],241,900,,BM 
92,1,19,PACID19120010,Package Empty Cylinder,Empty Cylinder 33[ BM  ],7,1500,,BM 
93,2,20,PACID19120010,Package Refill,Refill 33[ BM  ],7,2370,,BM 
94,1,21,PACID19120011,Package Empty Cylinder,Empty Cylinder 45[ BM  ],2,2300,,BM 
95,2,22,PACID19120011,Package Refill,Refill 45[ BM  ],2,3170,,BM 
96,1,23,PACID19120012,Package Empty Cylinder,Empty Cylinder 12[ TOTAL ],50,500,,TOTAL
97,2,24,PACID19120012,Package Refill,Refill 12[ TOTAL ],50,900,,TOTAL
98,1,25,PACID19120013,Package Empty Cylinder,Empty Cylinder 15[ TOTAL ],10,700,,TOTAL
99,2,26,PACID19120013,Package Refill,Refill 15[ TOTAL ],10,1115,,TOTAL
100,1,27,PACID19120014,Package Empty Cylinder,Empty Cylinder 33[ TOTAL ],2,1500,,TOTAL
101,2,28,PACID19120014,Package Refill,Refill 33[ TOTAL ],2,2375,,TOTAL
102,1,29,PACID19120015,Package Empty Cylinder,Empty Cylinder 45[ TOTAL ],0,2300,,TOTAL
103,2,30,PACID19120015,Package Refill,Refill 45[ TOTAL ],0,3170,,TOTAL
104,1,31,PACID19120016,Package Empty Cylinder,Empty Cylinder 12[ PETROMAX ],394,500,,PETROMAX
105,2,32,PACID19120016,Package Refill,Refill 12[ PETROMAX ],394,900,,PETROMAX
106,1,33,PACID19120017,Package Empty Cylinder,Empty Cylinder 35[ PETROMAX ],0,1500,,PETROMAX
107,2,34,PACID19120017,Package Refill,Refill 35[ PETROMAX ],0,2500,,PETROMAX
108,1,35,PACID19120018,Package Empty Cylinder,Empty Cylinder 45[ PETROMAX ],0,2300,,PETROMAX
109,2,36,PACID19120018,Package Refill,Refill 45[ PETROMAX ],0,3170,,PETROMAX
110,1,37,PACID19120019,Package Empty Cylinder,Empty Cylinder 12[ PADMA ],25,500,,PADMA
111,2,38,PACID19120019,Package Refill,Refill 12[ PADMA ],25,900,,PADMA
112,1,39,PACID19120020,Package Empty Cylinder,Empty Cylinder 35[ PADMA ],0,1500,,PADMA
113,2,40,PACID19120020,Package Refill,Refill 35[ PADMA ],0,2500,,PADMA
114,1,41,PACID19120021,Package Empty Cylinder,Empty Cylinder 12[ SENA ],0,500,,SENA
115,2,42,PACID19120021,Package Refill,Refill 12[ SENA ],0,900,,SENA
116,1,43,PACID19120022,Package Empty Cylinder,Empty Cylinder 35[ SENA ],0,1500,,SENA
